table_name	row_count
categories	5
articles	147
members	0
auth_sessions	0
community_posts	5
community_post_likes	0
community_comments	9
meetup_events	247
meetup_collect_runs	126
courses	210
fastcampus_collect_runs	42
writer_sessions	0
writer_messages	0
brunch_collect_runs	168
newsletter_collect_runs	42
card_benefits	47
card_benefit_collect_runs	42
